latitude,longitude,utm_northing,utm_easting,altitude
42.340305,-71.0888366666667,,,11.2
42.340295,-71.0888333333333,4689674.12497885,327928.69048138,11.3
42.340285,-71.0888366666667,4689673.00780873,327928.93780298,11.3
42.34028,-71.0888416666667,4689671.90413024,327928.635924063,11.4
42.3402733333333,-71.08885,4689671.35903684,327928.210384244,11.4
42.3402666666667,-71.08886,4689670.63561861,327927.505697541,11.4
42.3402616666667,-71.0888716666667,4689669.91557339,327926.663710503,11.5
42.340255,-71.0888816666667,4689669.38397195,327925.6889696,11.5
42.3402466666667,-71.0888916666667,4689668.66392694,327924.846982224,11.5
42.34024,-71.0889016666667,4689667.75881131,327924.000448112,11.6
42.3402333333333,-71.0889133333333,4689667.0387665,327923.15846037,11.6
42.34023,-71.0889266666667,4689666.32209481,327922.179172188,11.6
42.340225,-71.0889366666667,4689665.97893775,327921.07167679,11.7
42.34022,-71.0889466666667,4689665.44396399,327920.234235182,11.7
42.3402133333333,-71.0889533333333,4689664.90899032,327919.396793445,11.7
42.3402083333333,-71.0889633333333,4689664.18219984,327918.829405501,11.7
42.340205,-71.0889766666667,4689663.64722633,327917.991963505,11.7
42.3402,-71.0889883333333,4689663.30406991,327916.884467455,11.7
42.3401933333333,-71.089,4689662.77246979,327915.909724859,11.7
42.340185,-71.08901,4689662.05579909,327914.930435322,11.7
42.34018,-71.08902,4689661.1506846,327914.083899136,11.8
42.3401733333333,-71.0890316666667,4689660.61571165,327913.246456405,11.8
42.3401683333333,-71.0890433333333,4689659.8990413,327912.26716629,11.8
42.3401616666667,-71.089055,4689659.3674418,327911.292422856,11.8
42.3401566666667,-71.0890683333333,4689658.65077171,327910.313132363,11.8
42.3401483333333,-71.08908,4689658.12254576,327909.201088169,11.8
42.34014,-71.0890933333333,4689657.22080524,327908.217250323,11.8
42.340135,-71.089105,4689656.32243818,327907.096111753,11.8
42.3401283333333,-71.089115,4689655.79083937,327906.121367412,11.8
42.3401216666667,-71.089125,4689655.07079662,327905.27937638,11.8
42.340115,-71.0891366666667,4689654.35075397,327904.437385175,11.8
42.34011,-71.0891483333333,4689653.6340848,327903.45809327,11.7
42.340105,-71.08916,4689653.10248649,327902.483348269,11.7
42.3400983333333,-71.0891716666667,4689652.5708883,327901.508603117,11.7
42.3400933333333,-71.089185,4689651.85421954,327900.529310657,11.7
42.340085,-71.0892,4689651.32599508,327899.417264603,11.7
42.34008,-71.0892133333333,4689650.43100287,327898.158823357,11.7
42.3400733333333,-71.0892266666667,4689649.90277879,327897.046776887,11.7
42.3400666666667,-71.08924,4689649.18948416,327895.93018297,11.7
42.34007,-71.0892566666667,4689648.4761897,327894.81358882,11.8
42.3400683333333,-71.08927,4689648.88006688,327893.449677175,11.9
42.340065,-71.0892816666667,4689648.72198496,327892.34672481,12
42.3400633333333,-71.089295,4689648.37545886,327891.376525623,12.2
42.3400583333333,-71.0893066666667,4689648.21737726,327890.273573111,12.3
42.3400533333333,-71.0893166666667,4689647.68578073,327889.298826292,12.4
42.3400483333333,-71.0893266666667,4689647.15081065,327888.461379984,12.4
42.340045,-71.0893333333333,4689646.61584066,327887.623933546,12.5
42.3400416666667,-71.0893433333333,4689646.25919406,327887.065635848,12.5
42.3400383333333,-71.0893516666667,4689645.90929495,327886.232736718,12.5
42.340035,-71.0893616666667,4689645.55602219,327885.537138193,12.6
42.3400316666667,-71.089375,4689645.20612325,327884.704238897,12.8
42.3400283333333,-71.0893883333333,4689644.86297197,327883.596738092,12.9
42.3400233333333,-71.0894,4689644.51982086,327882.489237175,13
42.3400183333333,-71.089415,4689643.98822538,327881.514489216,13.1
42.3400133333333,-71.0894233333333,4689643.46337772,327880.265139625,13.2
42.3400066666667,-71.0894333333333,4689642.92503483,327879.564992843,13.3
42.3400016666667,-71.089445,4689642.20499515,327878.722997472,13.4
42.3399966666667,-71.0894583333333,4689641.67340018,327877.748248892,13.5
42.3399916666667,-71.0894716666667,4689641.14517926,327876.636199372,13.6
42.3399866666667,-71.089485,4689640.61695851,327875.52414968,13.6
42.3399816666667,-71.0895,4689640.08873792,327874.412099815,13.6
42.3399766666667,-71.0895133333333,4689639.5638915,327873.162748955,13.7
42.33997,-71.08953,4689639.03567128,327872.05069873,13.6
42.339965,-71.0895433333333,4689638.32912857,327870.659498724,13.6
42.3399583333333,-71.0895583333333,4689637.80090874,327869.547448099,13.6
42.339955,-71.0895716666667,4689637.09099244,327868.29354845,13.6
42.3399516666667,-71.0895866666667,4689636.7478437,327867.186045453,13.6
42.3399516666667,-71.0896033333333,4689636.40806924,327865.941241456,13.9
42.3399533333333,-71.0896216666667,4689636.44181058,327864.568232601,14.3
42.3399466666667,-71.0896333333333,4689636.66399708,327863.06247098,14.3
42.3399416666667,-71.0896433333333,4689635.94733352,327862.08317221,14.3
42.339935,-71.0896533333333,4689635.41236659,327861.245722321,14.3
42.33993,-71.0896666666667,4689634.69232905,327860.40372411,14.4
42.339925,-71.0896783333333,4689634.16411081,327859.291672071,14.5
42.33992,-71.0896916666667,4689633.63251848,327858.316920803,14.6
42.339915,-71.089705,4689633.10430056,327857.204868428,14.6
42.33991,-71.0897183333333,4689632.57608282,327856.09281588,14.7
42.339905,-71.08973,4689632.04786525,327854.980763156,14.7
42.3399,-71.0897433333333,4689631.51627349,327854.006011247,14.7
42.339895,-71.089755,4689630.98805624,327852.89395819,14.8
42.33989,-71.0897683333333,4689630.45646477,327851.919205967,14.8
42.3398866666667,-71.089785,4689629.92824784,327850.80715257,14.8
42.3398816666667,-71.0897983333333,4689629.59185068,327849.425045408,14.8
42.339875,-71.08981,4689629.06363414,327848.312991672,14.8
42.33987,-71.0898216666667,4689628.34697257,327847.333690284,14.9
42.339865,-71.089835,4689627.81538185,327846.358937249,14.9
42.3398583333333,-71.0898466666667,4689627.28716579,327845.246882982,14.9
42.33985,-71.0898583333333,4689626.57050463,327844.267581024,14.9
42.3398433333333,-71.0898716666667,4689625.6687729,327843.283730235,14.9
42.3398366666667,-71.089885,4689624.95548659,327842.167126726,14.8
42.3398283333333,-71.0898966666667,4689624.24220045,327841.050522986,14.7
42.3398216666667,-71.08991,4689623.34046914,327840.066671456,14.7
42.3398166666667,-71.0899216666667,4689622.62718333,327838.950067239,14.6
42.3398116666667,-71.089935,4689622.09559374,327837.975312743,14.4
42.3398083333333,-71.0899466666667,4689621.56737896,327836.863256904,14.3
42.3398016666667,-71.0899583333333,4689621.22086037,327835.893050912,14.2
42.3397983333333,-71.08997,4689620.50420048,327834.91374713,14.2
42.339795,-71.0899816666667,4689620.15768215,327833.943540884,14.1
42.3397866666667,-71.089995,4689619.81116395,327832.973334537,14.1
42.3397816666667,-71.09001,4689618.91280852,327831.852180083,14.1
42.339775,-71.0900233333333,4689618.38796948,327830.602821983,14.1
42.33977,-71.090035,4689617.67468513,327829.486215975,14.1
42.339765,-71.0900466666667,4689617.14309682,327828.511460032,14
42.33976,-71.09006,4689616.61150864,327827.53670394,14
42.339755,-71.0900733333333,4689616.08329547,327826.424646385,13.9
42.3397466666667,-71.0900866666667,4689615.55508248,327825.312588656,13.8
42.33974,-71.0900983333333,4689614.65672823,327824.191432521,13.8
42.3397333333333,-71.09011,4689613.94006991,327823.212126592,14
42.3397266666667,-71.0901216666667,4689613.22341173,327822.232820462,14.1
42.3397233333333,-71.090135,4689612.50675369,327821.25351413,14
42.3397166666667,-71.09015,4689612.1636122,327820.146004644,13.9
42.33971,-71.090165,4689611.45370449,327818.892095141,13.9
42.3397033333333,-71.0901783333333,4689610.74379699,327817.638185378,13.9
42.3396966666667,-71.0901933333333,4689610.03051463,327816.521576783,13.9
42.3396916666667,-71.0902066666667,4689609.32060755,327815.267666515,13.8
42.3396833333333,-71.0902183333333,4689608.79239627,327814.155606818,13.9
42.3396733333333,-71.09023,4689607.8906686,327813.171749618,13.8
42.3396666666667,-71.0902433333333,4689606.80387035,327812.183342742,13.9
42.33966,-71.090255,4689606.09058883,327811.066732953,13.9
42.3396533333333,-71.0902683333333,4689605.37393228,327810.08742446,13.8
42.3396483333333,-71.0902816666667,4689604.66065109,327808.970814221,13.8
42.3396416666667,-71.0902966666667,4689604.13244078,327807.858753286,13.7
42.3396366666667,-71.0903116666667,4689603.42253519,327806.60484105,13.6
42.3396316666667,-71.0903216666667,4689602.89770054,327805.355478152,13.6
42.3396266666667,-71.0903333333333,4689602.36274018,327804.518019823,13.7
42.339625,-71.0903466666667,4689601.83115523,327803.543259764,13.9
42.3396216666667,-71.0903583333333,4689601.67308719,327802.440297292,13.9
42.33962,-71.0903683333333,4689601.32657325,327801.470086668,13.8
42.3396166666667,-71.0903783333333,4689601.16175476,327800.641727283,13.8
